####################################################################
#                                                                  #
#	lexicon: all lexemes in biblical Hebrew                    #
#                                                                  #
####################################################################
#ident "@(#)lexicon	1.135 21/08/06"
# The spelling of proper names is that of the RSV
">BS["		sp=verb:vc=>@BAS:gl=fatten
">B<B<T/"	sp=subs:vc=>\:ABA<\:B.U<OT:gl=blisters
">BY/"		sp=nmpr:fc=seg:sm=topo:vc=>@BEY:gl=Ebez
">BYN/"		sp=nmpr:sm=pers:gn=m:vc=>IB\:Y@N:gl=Ibzan
">BQ["		sp=verb:vc=>@BAQ:gl=wrestle
">BQ/"		sp=subs:gn=m:vc=>@B@Q:gl=dust
">BQH/"		sp=subs:vc=>\:AB@Q@H:gl=scent-powder
">BR["		sp=verb:vc=>@BAR:gl=soar up
">BR/"		sp=subs:fc=seg:gn=m:vc=>;BER:gl=wing
">BRH/"		sp=subs:vc=>EB\:R@H:gl=wing
">BRHM/"	sp=nmpr:sm=pers:gn=m:vc=>AB\:R@H@M:gl=Abraham
">BRK"		sp=intj:vc=>AB\:R;K\::gl=<uncertain>
">BRM/"		sp=nmpr:sm=pers:gn=m:vc=>AB\:R@M:gl=Abram
">BCJ/"		sp=nmpr:sm=pers:gn=m:vc=>AB\:CAJ:gl=Abishai
">BCLWM/"	sp=nmpr:sm=pers:gn=m:vc=>AB\:C@LOWM:gl=Absalom
">BT/"		sp=nmpr:sm=topo:rt=>WB:vc=>OBOT:gl=Oboth
">G>/"		sp=nmpr:fc=ae:sm=pers:gn=m:vc=>@G;>:gl=Agee
">GG/"		sp=nmpr:sm=pers:gn=m:vc=>\:AGAG:gl=Agag
">GGJ/"		sp=adjv:ls=gntl:vc=>\:AG@GIJ:gl=Agagite
">GDH/"		sp=subs:vc=>\:AGUD.@H:gl=bundle
">GWZ/"		sp=subs:gn=m:vc=>\:EGOWZ:gl=nut
">GWR/"		sp=nmpr:fc=ptcp:sm=pers:gn=m:vc=>@GW.R:gl=Agur
">GWRH/"	sp=subs:vc=>\:AGOWR@H:gl=payment
">GL/"		sp=subs:fc=seg:vc=>;GEL:gl=drop
">GLJM/"	sp=nmpr:sm=topo:vc=>EG\:LAJIM:gl=Eglaim
">GM/"		sp=subs:gn=m:vc=>\:AGAM:gl=reedy pool
">GM=/"		sp=adjv:rt=>GM:vc=>@G;M:gl=grieved
">GMWN/"	sp=subs:gn=m:vc=>AG\:MOWN:gl=rush
">GN/"		sp=subs:gn=m:vc=>AG.@N:gl=bowl
">GP/"		sp=subs:vc=>\:AGAP:gl=troop
">GR["		sp=verb:vc=>@GAR:gl=gather
">GRVL/"	sp=subs:vc=>\:AGAR\:V@L:gl=basket
">GRP/"		sp=subs:gn=m:vc=>EG\:ROP:gl=broom
">GRT/"		sp=subs:fc=seg:vc=>IG.ERET:gl=letter
">D/"		sp=subs:gn=m:rt=>WD?:vc=>;D:gl=<uncertain>
">DB["		sp=verb:vc=>@DAB:gl=invite
">DB>L/"	sp=nmpr:sm=pers:gn=m:vc=>AD\:B.\:>;L:gl=Abdeel
">DD/"		sp=nmpr:sm=pers:gn=m:vc=>\:ADAD:gl=Hadad
">DW/"		sp=nmpr:sm=pers:gn=m:vc=>ID.OW:gl=Iddo
">DWM/"		sp=nmpr:sm=topo:vc=>\:EDOWM:gl=Edom
">DWN/"		sp=subs:gn=m:rt=>DN:vc=>@DOWN:gl=lord
">DWN=/"	sp=nmpr:sm=topo:vc=>AD.OWN:gl=Addon
">DWRJM/"	sp=nmpr:sm=topo:vc=>\:ADOWRAJIM:gl=Adoraim
">DJR/"		sp=adjv:rt=>DR:vc=>AD.IJR:gl=mighty
">DLJ>/"	sp=nmpr:sm=pers:gn=m:vc=>\:ADAL\:J@>:gl=Adalia
">DM["		sp=verb:vc=>@DOM:gl=be ruddy
">DM/"		sp=subs:gn=m:rt=>DM:vc=>@D@M:gl=human, mankind
">DM=/"		sp=adjv:rt=>DM:vc=>@DOM:gl=red
">DM==/"	sp=subs:fc=seg:gn=f:vc=>ODEM:gl=ruby
">DM===/"	sp=nmpr:sm=pers:gn=m:vc=>@D@M:gl=Adam
">DM====/"	sp=nmpr:sm=topo:vc=>@D@M:gl=Adam
">DMDM/"	sp=adjv:vc=>\:ADAM\:D.@M:gl=reddish
">DMH/"		sp=subs:vc=>\:AD@M@H:gl=soil
">DMH=/"	sp=nmpr:sm=topo:vc=>AD\:M@H:gl=Admah
">DMH==/"	sp=nmpr:sm=topo:vc=>\:AD@M@H:gl=Adamah
">DMJ/"		sp=adjv:ls=gntl:vc=>\:ADOMIJ:gl=Edomite
">DMJ_HNQB/"	sp=nmpr:sm=topo:vc=>\:AD@MIJ_HAN.EQEB:gl=Adami-nekeb
">DMNJ/"	sp=adjv:vc=>AD\:MONIJ:gl=red
">DMT>/"	sp=nmpr:sm=pers:gn=m:vc=>AD\:M@T@>:gl=Admatha
">DN/"		sp=subs:fc=seg:gn=m:vc=>EDEN:gl=pedestal
">DN=/"		sp=nmpr:sm=topo:vc=>AD.@N:gl=Addon
">DNJ/"		sp=nmpr:sm=pers:gn=m:vc=>\:ADON@J:gl=Lord
">DNJ_BZQ/"	sp=nmpr:sm=pers:gn=m:vc=>\:ADONIJ_BEZEQ:gl=Adoni-Bezek
">DNJ_YDQ/"	sp=nmpr:sm=pers:gn=m:vc=>\:ADONIJ_YEDEQ:gl=Adoni-Zedek
">DNJH/"	sp=nmpr:sm=pers:gn=m:vc=>\:ADONIJ.@H:gl=Adonijah
">DNJHW/"	sp=nmpr:sm=pers:gn=m:vc=>\:ADONIJ.@HW.:gl=Adonijah
">DNJQM/"	sp=nmpr:sm=pers:gn=m:vc=>\:ADONIJQ@M:gl=Adonikam
">DNJRM/"	sp=nmpr:sm=pers:gn=m:vc=>\:ADONIJR@M:gl=Adoniram
">DR["		sp=verb:vc=>@DAR:gl=be powerful
">DR/"		sp=subs:fc=seg:gn=m:vc=>EDER:gl=might
">DR=/"		sp=nmpr:sm=mens:vc=>\:AD@R:gl=Adar
">DR==/"	sp=nmpr:sm=pers:gn=m:vc=>AD.@R:gl=Addar
">DR===/"	sp=nmpr:sm=topo:vc=>AD.@R:gl=<town>
">DRKWN/"	sp=subs:vc=>\:ADAR\:K.OWN:gl=<currency unit>
">DRM/"		sp=nmpr:sm=pers:gn=m:vc=>\:ADOR@M:gl=Adoniram
">DRMLK/"	sp=nmpr:sm=pers:gn=m:vc=>AD\:RAM.ELEK\::gl=<Assyrian god>
">DRMLK=/"	sp=nmpr:sm=pers:gn=m:vc=>AD\:RAM.ELEK\::gl=Adrammelech
">DR<J/"	sp=nmpr:sm=topo:vc=>ED\:RE<IJ:gl=Edrei
">DRT/"		sp=subs:fc=seg:vc=>AD.ERET:gl=splendour
">DC["		sp=verb:vc=>@DAC:gl=thresh?
">HB["		sp=verb:vc=>@H;B:gl=love
">HB/"		sp=subs:rt=>HB:vc=>OHAB:gl=display of love
">HB=/"		sp=subs:rt=>HB:vc=>AHAB:gl=love
">HBH/"		sp=subs:fc=inf:vc=>\:AH@B@H:gl=love
">HD/"		sp=nmpr:sm=pers:gn=m:vc=>OHAD:gl=Ohad
">HH"		sp=intj:vc=>\:AH@H.:gl=alas
">HW>/"		sp=nmpr:sm=topo:vc=>AH\:AW@>:gl=Ahava
">HWD/"		sp=nmpr:sm=pers:gn=m:vc=>;HW.D:gl=Ehud
">HJ"		sp=inrg:vc=>\:EHIJ:gl=where
">HL["		sp=verb:vc=>@HAL:gl=pitch a tent
">HL/"		sp=subs:fc=seg:gn=m:vc=>OHEL:gl=tent
">HL=["		sp=verb:fc=1>:gl=be bright
">HL=/"		sp=nmpr:fc=seg:sm=pers:gn=m:vc=>OHEL:gl=Ohel
">HL==/"	sp=subs:rt=>HL:vc=>@H@L:gl=aloe
">HLH/"		sp=nmpr:sm=pers:gn=f:vc=>@H\:@L@H:gl=Oholah
">HLJ>B/"	sp=nmpr:sm=pers:gn=m:vc=>@H\:@LIJ>@B:gl=Oholiab
">HLJBH/"	sp=nmpr:sm=pers:gn=f:vc=>@H\:@LIJB@H:gl=Oholibah
">HLJBMH/"	sp=nmpr:sm=pers:gn=f:vc=>@H\:@LIJB@M@H:gl=<wife of Esau>
">HLJBMH=/"	sp=nmpr:sm=gens:vc=>@H\:@LIJB@M@H:gl=<tribe>
">HRN/"		sp=nmpr:sm=pers:gn=m:vc=>AH\:ARON:gl=Aaron
">W"		sp=conj:vc=>OW:gl=or
">W>L/"		sp=nmpr:sm=pers:gn=m:vc=>W.>;L:gl=Uel
">WB/"		sp=subs:gn=m:vc=>OWB:gl=spirit of dead
">WB=/"		sp=subs:gn=m:vc=>OWB:gl=bag
">WBJL/"	sp=nmpr:sm=pers:gn=m:vc=>OWBIJL:gl=Obil
">WD/"		sp=subs:gn=m:vc=>W.D:gl=log
">WDWT/"	sp=subs:vc=>OWDOWT:gl=inducement
">WH["		sp=verb:vc=>@W@H:gl=wish
">WH/"		sp=subs:vc=>AW.@H:gl=desire
">WZJ/"		sp=nmpr:sm=pers:gn=m:vc=>W.ZAJ:gl=Uzai
">WZL/"		sp=nmpr:sm=pers:gn=m:vc=>W.Z@L:gl=Uzal
">WJ"		sp=intj:vc=>OWJ:gl=woe
">WJ/"		sp=nmpr:sm=pers:gn=m:vc=>\:EWIJ:gl=Evi
">WJH"		sp=intj:vc=>OWJ@H:gl=woe
">WJL/"		sp=adjv:vc=>\:EWIJL:gl=foolish
">WJL_MRDK/"	sp=nmpr:sm=pers:gn=m:vc=>\:EWIJL_M\:RODAK\::gl=Evil-merodach
">WL/"		sp=subs:gn=m:vc=>W.L:gl=<uncertain>
">WLJ"		sp=advb:vc=>W.LAJ:gl=perhaps
">WLJ/"		sp=adjv:rt=>WL:vc=>\:EWILIJ:gl=awkward
">WLJ=/"	sp=nmpr:sm=topo:vc=>W.LAJ:gl=Ulai
">WLM"		sp=advb:vc=>W.L@M:gl=but
">WLM/"		sp=nmpr:sm=pers:gn=m:vc=>W.L@M:gl=Ulam
">WLT/"		sp=subs:fc=seg:vc=>IW.ELET:gl=foolishness
">WMR/"		sp=nmpr:sm=pers:gn=m:vc=>OWM@R:gl=Omar
">WN/"		sp=subs:gn=m:vc=>OWN:gl=generative power
">WN=/"		sp=subs:fc=seg:gn=m:vc=>@WEN:gl=wickedness
">WN===/"	sp=nmpr:sm=pers:gn=m:vc=>OWN:gl=On
">WN====/"	sp=nmpr:fc=seg:sm=topo:vc=>@WEN:gl=<town>
">WNW/"		sp=nmpr:sm=topo:vc=>OWNOW:gl=Ono
">WNM/"		sp=nmpr:sm=pers:gn=m:vc=>OWN@M:gl=Onam
">WNN/"		sp=nmpr:sm=pers:gn=m:vc=>OWN@N:gl=Onan
">WPZ/"		sp=nmpr:sm=topo:vc=>W.P@Z:gl=Uphaz
">WPJR/"	sp=nmpr:sm=topo:vc=>OWPIJR:gl=<land of gold>
">WPJR=/"	sp=nmpr:sm=pers:gn=m:vc=>OWPIJR:gl=Ophir
">WPN/"		sp=subs:gn=m:vc=>OWPAN:gl=wheel
">WY["		sp=verb:vc=>W.Y:gl=urge
">WYR/"		sp=subs:gn=m:vc=>OWY@R:gl=supply
">WR["		sp=verb:fc=2wj:vc=>OWR:gl=be light
">WR/"		sp=subs:fc=inf:vc=>OWR:gl=light
">WR=/"		sp=subs:gn=m:vc=>W.R:gl=light
">WR==/"	sp=subs:vc=>W.R:gl=<oracle device>
">WR===/"	sp=nmpr:sm=topo:vc=>W.R:gl=Ur
">WR====/"	sp=nmpr:sm=pers:gn=m:vc=>W.R:gl=Ur
">WRH/"		sp=subs:vc=>OWR@H:gl=light
">WRWT/"	sp=subs:vc=>\:AW;ROWT:gl=<uncertain>
">WRJ/"		sp=nmpr:sm=pers:gn=m:vc=>W.RIJ:gl=Uri
">WRJ>L/"	sp=nmpr:sm=pers:gn=m:vc=>W.RIJ>;L:gl=Uriel
">WRJH/"	sp=nmpr:sm=pers:gn=m:vc=>W.RIJ.@H:gl=Uriah
">WRJHW/"	sp=nmpr:sm=pers:gn=m:vc=>W.RIJ.@HW.:gl=Uriah
">WT["		sp=verb:vc=>W.T:gl=<uncertain>
">WT/"		sp=subs:vc=>OWT:gl=sign
">Z"		sp=advb:vc=>@Z:gl=then
">ZBJ/"		sp=nmpr:sm=pers:gn=m:vc=>EZ\:B.@J:gl=Ezbai
">ZWB/"		sp=subs:gn=m:vc=>;ZOWB:gl=hyssop
">ZWR/"		sp=subs:gn=m:vc=>;ZOWR:gl=loin-cloth
">ZJ"		sp=advb:vc=>\:AZAJ:gl=then
">ZKRH/"	sp=subs:vc=>AZ\:K.@R@H:gl=memorial offering
">ZL["		sp=verb:vc=>@ZAL:gl=go away
">ZL/"		sp=nmpr:vc=>EZEL:gl=<uncertain>
">ZN["		sp=verb:vc=>@ZAN:gl=listen
">ZN/"		sp=subs:fc=seg:gn=f:vc=>OZEN:gl=ear
">ZN=["		sp=verb:fc=1>:gl=ponder
">ZN=/"		sp=subs:gn=m:vc=>@Z;N:gl=tool
">ZN_C>RH/"	sp=nmpr:sm=topo:vc=>UZ.;N_CE>\:ER@H:gl=Uzzen Sheerah
">ZNWT_TBWR/"	sp=nmpr:sm=topo:vc=>AZ\:NOWT_T.@BOWR:gl=Aznoth Tabor
">ZNJ/"		sp=adjv:ls=gntl:vc=>@Z\:NIJ:gl=Oznite
">ZNJ=/"	sp=nmpr:sm=pers:gn=m:vc=>@Z\:NIJ:gl=Ozni
">ZNJH/"	sp=nmpr:sm=pers:gn=m:vc=>\:AZAN\:J@H:gl=Azaniah
">ZQJM/"	sp=subs:vc=>\:AZIQ.IJM:gl=handcuffs
">ZR["		sp=verb:vc=>@ZAR:gl=put on
">ZRX/"		sp=subs:gn=m:vc=>EZ\:R@X:gl=native
">ZRXJ/"	sp=adjv:ls=gntl:vc=>EZ\:R@XIJ:gl=Ezrahite
">ZR</"		sp=subs:gn=f:rt=ZR<:vc=>EZ\:RO<A:gl=arm
">X"		sp=intj:vc=>@X:gl=alas
">X/"		sp=subs:ls=nmdi:gn=m:rt=>XH:vc=>@X:gl=brother
">X=/"		sp=subs:vc=>OXA:gl=eagle owl
">X==/"		sp=subs:gn=f:rt=>XX?:vc=>@X:gl=brazier
">X>B/"		sp=nmpr:sm=pers:gn=m:vc=>AX\:>@B:gl=Ahab
">XBN/"		sp=nmpr:sm=pers:gn=m:vc=>AX\:B.@N:gl=Ahban
">XD["		sp=verb:fc=1>:gl=<uncertain>:
">XD/"		sp=subs:ls=card:vc=>EX@D:gl=one
">XW/"		sp=subs:gn=m:vc=>@XW.:gl=reed
">XWD/"		sp=nmpr:sm=pers:gn=m:vc=>;XW.D:gl=Ehud
">XWH/"		sp=subs:vc=>AX\:AW@H:gl=brotherhood
">XWH=/"	sp=subs:vc=>AX\:W@H:gl=<uncertain>
">XWX/"		sp=nmpr:sm=pers:gn=m:vc=>\:AXOWXA:gl=Ahoah
">XWXJ/"	sp=adjv:ls=gntl:vc=>\:AXOWXIJ:gl=Ahohite
">XWMJ/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXW.MAJ:gl=Ahumai
">XWR/"		sp=subs:ls=padv:gn=m:vc=>@XOWR:gl=back(wards)
">XWT/"		sp=subs:ls=nmdi:rt=>XH:vc=>@XOWT:gl=sister
">XZ["		sp=verb:vc=>@XAZ:gl=seize
">XZ/"		sp=adjv:fc=ptcp:vc=>@XUZ:gl=holding
">XZ=["		sp=verb:fc=1>:gl=cover
">XZ=/"		sp=nmpr:sm=pers:gn=m:vc=>@X@Z:gl=Ahaz
">XZH/"		sp=subs:vc=>\:AXUZ.@H:gl=land property
">XZJ/"		sp=nmpr:sm=pers:gn=m:vc=>AX\:ZAJ:gl=Ahzai
">XZJH/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXAZ\:J@H:gl=Ahaziah
">XZJHW/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXAZ\:J@HW.:gl=Ahaziah
">XZM/"		sp=nmpr:sm=pers:gn=m:vc=>\:AXUZ.@M:gl=Ahuzzam
">XZT/"		sp=nmpr:sm=pers:gn=m:vc=>\:AXUZ.AT:gl=Ahuzzath
">XJ/"		sp=nmpr:sm=pers:gn=m:vc=>;XIJ:gl=Ehi
">XJ=/"		sp=nmpr:sm=pers:gn=m:vc=>\:AXIJ:gl=Ahi
">XJ>M/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJ>@M:gl=Ahiam
">XJH/"		sp=nmpr:sm=pers:gn=m:vc=>\:AXIJ.@H:gl=Ahijah
">XJHW/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJ.@HW.:gl=Ahijah
">XJHWD/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJHW.D:gl=Ahihud
">XJW/"		sp=nmpr:sm=pers:gn=m:vc=>AX\:JOW:gl=Ahio
">XJXD/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJXUD:gl=Ahihud
">XJVWB/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJVW.B:gl=Ahitub
">XJLWD/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJLW.D:gl=Ahilud
">XJMWT/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJMOWT:gl=Ahimoth
">XJMLK/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJMELEK\::gl=Ahimelech
">XJMN/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJMAN:gl=Ahiman
">XJM<Y/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJMA<AY:gl=Ahimaaz
">XJN/"		sp=nmpr:sm=pers:gn=m:vc=>AX\:J@N:gl=Ahian
">XJNDB/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJN@D@B:gl=Ahinadab
">XJN<M/"	sp=nmpr:sm=pers:gn=f:vc=>\:AXIJNO<AM:gl=Ahinoam
">XJSMK/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJS@M@K\::gl=Ahisamach
">XJ<ZR/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJ<EZER:gl=Ahiezer
">XJQM/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJQ@M:gl=Ahikam
">XJRM/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJR@M:gl=Ahiram
">XJRMJ/"	sp=adjv:ls=gntl:vc=>\:AXIJR@MIJ:gl=Ahiramite
">XJR</"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJRA<:gl=Ahira
">XJCXR/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJC@XAR:gl=Ahishahar
">XJCR/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJC@R:gl=Ahishar
">XJTPL/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXIJTOPEL:gl=Ahithophel
">XLB/"		sp=nmpr:sm=topo:vc=>AX\:L@B:gl=Ahlab
">XLJ"		sp=intj:vc=>AX\:ALAJ:gl=alas
">XLJ/"		sp=nmpr:sm=pers:gn=m:vc=>AX\:L@J:gl=Ahlai
">XLMH/"	sp=subs:vc=>AX\:L@M@H:gl=jasper
">XSBJ/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXAS\:B.AJ:gl=Ahasbai
">XR["		sp=verb:vc=>@XAR:gl=be behind
">XR/"		sp=subs:ls=ppre:gn=m:rt=>XR:vc=>AXAR:gl=after
">XR=/"		sp=adjv:rt=>XR:vc=>AX;R:gl=other
">XR==/"	sp=nmpr:fc=ae:sm=pers:gn=m:vc=>AX;R:gl=Aher
">XRWN/"	sp=adjv:rt=>XR:vc=>AX\:AROWN:gl=at the back
">XRX/"		sp=nmpr:sm=pers:gn=m:vc=>AX\:RAX:gl=Aharah
">XRXL/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXAR\:X;L:gl=Aharhel
">XRJT/"	sp=subs:gn=f:rt=>XR:vc=>AX\:ARIJT:gl=end
">XRNJT"	sp=advb:rt=>XR:vc=>\:AXORAN.IJT:gl=backwards
">XCDRPN/"	sp=subs:vc=>\:AXAC\:D.AR\:P.@N:gl=satrap
">XCWRWC/"	sp=nmpr:sm=pers:gn=m:vc=>\:AXAC\:W;ROWC:gl=Ahasuerus
">XCTRJ/"	sp=adjv:ls=gntl:vc=>\:AXAC\:T.@RIJ:gl=Ahashtarite
">XCTRN/"	sp=adjv:vc=>\:AXAC\:T.\:R@N:gl=royal
">V/"		sp=subs:ls=padv:gn=m:rt=>VV:vc=>AV:gl=gentle
">VD/"		sp=subs:gn=m:vc=>@V@D:gl=thorny bush
">VWN/"		sp=subs:gn=m:vc=>;VW.N:gl=linen
">VJM/"		sp=subs:vc=>IV.IJM:gl=charmers
">VM["		sp=verb:vc=>@VAM:gl=plug
">VR["		sp=verb:fc=1>:gl=close
">VR/"		sp=adjv:fc=ie:vc=>IV.;R:gl=left-handed
">VR=/"		sp=nmpr:fc=ae:sm=pers:gn=m:vc=>@V;R:gl=Ater
">J"		sp=inrg:vc=>;J:gl=where
">J/"		sp=subs:gn=m:vc=>IJ:gl=coast, island
">J="		sp=inrg:vc=>IJ:gl=how
">J=/"		sp=subs:vc=>IJ:gl=islander
">J=="		sp=nega:vc=>IJ:gl=not
">JB["		sp=verb:vc=>@JAB:gl=be hostile
">JBH/"		sp=subs:rt=>JB:vc=>;JB@H:gl=enmity
">JD/"		sp=subs:gn=m:vc=>;JD:gl=calamity
">JH"		sp=inrg:vc=>AJ.;H:gl=where
">JH/"		sp=subs:vc=>AJ.@H:gl=black bird
